,location,total_sqft,bath,price,bhk
1566,Bisuvanahalli,845.0,2.0,30.0,2
1567,Bisuvanahalli,1200.0,2.0,41.0,3
1568,Bisuvanahalli,1075.0,2.0,31.0,3
1569,Bisuvanahalli,1180.0,2.0,45.0,3
1570,Bisuvanahalli,1075.0,2.0,43.0,3
1571,Bisuvanahalli,1080.0,2.0,45.0,3
1572,Bisuvanahalli,1180.0,2.0,55.5,3
1573,Bisuvanahalli,1075.0,2.0,47.0,3
1574,Bisuvanahalli,1075.0,2.0,48.0,3
1575,Bisuvanahalli,1075.0,2.0,37.0,3
1576,Bisuvanahalli,1075.0,2.0,45.0,3
1577,Bisuvanahalli,1075.0,2.0,44.0,3
1578,Bisuvanahalli,1075.0,2.0,31.0,3
1579,Bisuvanahalli,850.0,2.0,27.0,2
1580,Bisuvanahalli,1080.0,2.0,65.0,3
1581,Bisuvanahalli,1075.0,2.0,42.0,3
1582,Bisuvanahalli,845.0,2.0,32.0,2
1583,Bisuvanahalli,1075.0,2.0,32.0,3
1584,Bisuvanahalli,1075.0,2.0,41.49,3
1585,Bisuvanahalli,1075.0,2.0,33.0,3
1586,Bisuvanahalli,845.0,2.0,34.0,2
1587,Bommanahalli,3000.0,8.0,140.0,8
1588,Bommanahalli,1200.0,2.0,40.0,2
1589,Bommanahalli,1730.0,3.0,96.0,3
1590,Bommanahalli,520.0,1.0,19.5,1
1591,Bommanahalli,1000.0,2.0,29.9,2
1592,Bommanahalli,515.0,1.0,25.0,1
1593,Bommanahalli,1090.0,3.0,44.0,2
1594,Bommanahalli,1250.0,2.0,42.5,3
1595,Bommanahalli,1375.0,3.0,59.0,3
1596,Bommanahalli,1250.0,3.0,55.0,3
1597,Bommanahalli,1110.0,2.0,33.0,2
1598,Bommanahalli,1625.0,2.0,87.72,3
1599,Bommanahalli,1850.0,3.0,90.0,3
1600,Bommanahalli,957.0,2.0,53.0,2
1601,Bommanahalli,910.0,2.0,45.0,2
1602,Bommanahalli,1050.0,2.0,46.0,2
1603,Bommanahalli,1290.0,2.0,73.0,2
1604,Bommanahalli,1100.0,1.0,55.0,2
1605,Bommanahalli,1300.0,3.0,45.0,3
1606,Bommanahalli,1350.0,2.0,72.0,2
1607,Bommanahalli,2100.0,4.0,85.0,4
1608,Bommanahalli,1170.0,2.0,34.0,2
1609,Bommanahalli,1020.0,2.0,55.0,2
1610,Bommanahalli,1250.0,3.0,41.0,3
1611,Bommanahalli,1660.0,2.0,100.0,3
1612,Bommanahalli,1250.0,4.0,39.0,3
1613,Bommanahalli,1307.0,2.0,50.0,2
1614,Bommanahalli,1416.0,2.0,85.0,3
1615,Bommanahalli,1091.0,2.0,40.0,2
1616,Bommanahalli,1355.0,2.0,73.17,2
1617,Bommanahalli,1160.0,2.0,53.0,2
1618,Bommanahalli,2875.0,7.0,85.0,7
1619,Bommanahalli,1050.0,2.0,54.0,2
1620,Bommasandra,1260.0,3.0,49.36,3
1621,Bommasandra,1060.0,2.0,26.5,2
1622,Bommasandra,1126.0,2.0,28.15,2
1623,Bommasandra,1200.0,3.0,46.0,3
1624,Bommasandra,1035.0,2.0,41.0,2
1625,Bommasandra,1035.0,2.0,41.73,2
1626,Bommasandra,1034.0,2.0,40.0,2
1627,Bommasandra,877.0,2.0,30.0,2
1628,Bommasandra,1447.0,3.0,80.0,3
1629,Bommasandra,920.0,2.0,37.46,2
1630,Bommasandra,1035.0,2.0,41.43,2
1631,Bommasandra,902.0,2.0,49.0,2
1632,Bommasandra,1295.0,2.0,50.28,3
1633,Bommasandra,1478.0,2.0,44.0,3
1634,Bommasandra,1015.0,2.0,40.0,2
1635,Bommasandra,1000.0,2.0,35.0,2
1636,Bommasandra,955.0,2.0,35.28,2
1637,Bommasandra,1005.0,2.0,39.77,2
1638,Bommasandra,1014.0,2.0,35.0,2
1639,Bommasandra,1020.0,2.0,40.89,2
1640,Bommasandra,920.0,2.0,37.2,2
1641,Bommasandra,800.0,1.0,32.0,2
1642,Bommasandra,1280.0,3.0,50.0,3
1643,Bommasandra,1942.0,3.0,90.0,3
1644,Bommasandra,1127.0,2.0,45.0,2
1645,Bommasandra,1400.0,2.0,45.0,3
1646,Bommasandra,877.0,2.0,29.0,2
1647,Bommasandra,1365.0,3.0,52.81,3
1648,Bommasandra,842.0,2.0,30.0,2
1649,Bommasandra,1260.0,3.0,49.36,3
1650,Bommasandra,1365.0,3.0,52.82,3
1651,Bommasandra,955.0,2.0,37.97,2
1652,Bommasandra,1089.0,2.0,40.0,2
1653,Bommasandra,950.0,2.0,25.0,2
1654,Bommasandra,1365.0,3.0,53.96,3
1655,Bommasandra,1200.0,3.0,110.0,3
1656,Bommasandra Industrial Area,1280.0,3.0,50.4,3
1657,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1658,Bommasandra Industrial Area,1030.0,2.0,41.0,2
1659,Bommasandra Industrial Area,1320.0,2.0,38.12,3
1660,Bommasandra Industrial Area,1020.0,2.0,39.0,2
1661,Bommasandra Industrial Area,1400.0,2.0,40.44,3
1662,Bommasandra Industrial Area,1320.0,2.0,38.13,3
1663,Bommasandra Industrial Area,1220.0,2.0,35.23,3
1664,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1665,Bommasandra Industrial Area,1165.0,2.0,33.64,2
1666,Bommasandra Industrial Area,1250.0,3.0,50.0,3
1667,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1668,Bommasandra Industrial Area,1310.0,2.0,37.83,3
1669,Bommasandra Industrial Area,1200.0,3.0,45.0,2
1670,Bommasandra Industrial Area,1005.0,2.0,39.77,2
1671,Bommasandra Industrial Area,1000.0,2.0,28.88,2
1672,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1673,Bommasandra Industrial Area,1160.0,2.0,33.51,2
1674,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1675,Bommasandra Industrial Area,1220.0,2.0,35.2,3
1676,Bommasandra Industrial Area,1491.0,3.0,40.5,3
1677,Bommasandra Industrial Area,1365.0,3.0,52.81,3
1678,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1679,Bommasandra Industrial Area,1130.0,2.0,32.64,2
1680,Bommasandra Industrial Area,1065.0,2.0,30.75,2
1681,Bommasandra Industrial Area,7000.0,2.0,135.0,2
1682,Bommenahalli,1200.0,3.0,125.0,3
1683,Bommenahalli,1632.0,3.0,145.0,4
1684,Bommenahalli,1670.0,3.0,135.0,4
1685,Bommenahalli,1680.0,3.0,135.0,4
1686,Bommenahalli,1632.0,3.0,128.0,4
1687,Bommenahalli,3339.0,3.0,250.0,3
1688,Bommenahalli,2940.0,3.0,2250.0,4
1689,Bommenahalli,1355.0,3.0,135.0,4
1690,Bommenahalli,1232.0,3.0,96.0,3
1691,Bommenahalli,1632.0,3.0,140.0,4
1692,Brookefield,1150.0,2.0,69.0,2
1693,Brookefield,2440.0,5.0,425.0,4
1694,Brookefield,1200.0,3.0,140.0,3
1695,Brookefield,1142.0,2.0,70.0,2
1696,Brookefield,1440.0,2.0,68.0,3
1697,Brookefield,2169.0,4.0,115.0,3
1698,Brookefield,1595.0,3.0,88.0,3
1699,Brookefield,2800.0,4.0,240.0,4
1700,Brookefield,1476.0,3.0,105.0,3
1701,Brookefield,1700.0,4.0,152.0,4
1702,Brookefield,1262.0,2.0,75.0,2
1703,Brookefield,1139.0,2.0,80.0,2
1704,Brookefield,1125.0,2.0,70.0,2
1705,Brookefield,1420.0,3.0,85.0,3
1706,Brookefield,2400.0,5.0,325.0,5
1707,Brookefield,3532.0,3.0,170.0,4
1708,Brookefield,941.0,2.0,48.0,2
1709,Brookefield,1595.0,2.0,75.0,3
1710,Brookefield,1410.0,2.0,80.0,3
1711,Brookefield,1100.0,2.0,55.0,2
1712,Brookefield,2400.0,3.0,140.0,4
1713,Brookefield,1225.0,2.0,66.5,2
1714,Brookefield,2700.0,8.0,290.0,8
1715,Brookefield,1950.0,6.0,175.0,5
1716,Brookefield,1080.0,2.0,50.0,2
1717,Brookefield,1230.0,2.0,55.0,2
1718,Brookefield,1200.0,2.0,75.0,2
1719,Brookefield,1089.0,2.0,49.0,2
1720,Brookefield,1130.0,2.0,56.0,2
1721,Brookefield,1270.0,2.0,95.0,2
1722,Brookefield,1706.0,3.0,115.0,3
1723,Brookefield,2000.0,3.0,300.0,3
1724,Brookefield,1389.0,2.0,94.0,2
1725,Brookefield,1750.0,2.0,75.0,3
1726,Brookefield,1500.0,5.0,160.0,4
1727,Brookefield,1225.0,2.0,72.0,2
1728,Brookefield,3675.0,4.0,176.0,4
1729,Brookefield,1746.0,3.0,115.0,3
1730,Brookefield,1518.0,3.0,80.0,3
1731,Brookefield,1560.0,3.0,149.0,4
1732,Brookefield,1589.0,3.0,74.0,3
1733,Brookefield,1382.0,2.0,84.5,2
1734,Brookefield,1260.0,2.0,70.0,2
1735,Brookefield,1206.0,2.0,90.0,2
1736,Brookefield,3050.0,4.0,130.0,4
1737,Brookefield,1594.0,3.0,140.0,3
1738,Brookefield,1588.0,2.0,58.0,2
1739,Budigere,1153.0,2.0,56.4,2
1740,Budigere,1162.0,2.0,59.9,2
1741,Budigere,1991.0,4.0,103.0,3
1742,Budigere,1153.0,2.0,57.0,2
1743,Budigere,1162.0,2.0,57.0,2
1744,Budigere,764.0,1.0,32.0,1
1745,Budigere,1139.0,2.0,62.0,2
1746,Budigere,1139.0,2.0,56.8,2
1747,Budigere,1139.0,2.0,56.85,2
1748,Budigere,1920.0,2.0,88.0,3
1749,Budigere,1991.0,4.0,100.0,3
1750,Budigere,664.0,1.0,35.0,1
1751,Budigere,1820.0,3.0,93.0,3
1752,Budigere,1636.0,3.0,85.0,3
1753,Budigere,1444.0,2.0,70.0,2
1754,Budigere,722.0,1.0,46.0,1
1755,Budigere,1991.0,4.0,88.0,3
1756,Budigere,1200.0,3.0,135.0,4
1757,Budigere,1139.0,2.0,60.0,2
1758,Budigere,1820.0,3.0,85.5,3
1759,Budigere,1820.0,3.0,93.0,3
1760,Budigere,1820.0,3.0,85.4,3
1761,Budigere,1162.0,2.0,58.0,2
1762,Budigere,1636.0,3.0,85.0,3
1763,Budigere,1636.0,3.0,92.0,3
1764,Budigere,1087.0,2.0,54.3,2
1765,Budigere,1820.0,3.0,89.0,3
1766,Budigere,1149.0,2.0,65.0,2
1767,Budigere,693.0,1.0,27.375,1
1768,Budigere,664.0,1.0,35.4,1
1769,Budigere,1153.0,2.0,56.7,2
1770,Budigere,1820.0,3.0,85.0,3
1771,Budigere,1139.0,2.0,72.0,2
1772,Budigere,1139.0,2.0,56.5,2
1773,Budigere,1636.0,3.0,83.0,3
1774,Budigere,664.0,1.0,34.0,1
1775,Budigere,1820.0,3.0,85.2,3
1776,Budigere,1162.0,2.0,58.0,2
1777,Budigere,1153.0,2.0,60.0,2
1778,Budigere,1820.0,3.0,99.0,3
1779,Budigere,1172.0,2.0,56.725,2
1780,Budigere,1590.0,3.0,76.16,3
1781,Budigere,1820.0,3.0,85.0,3
1782,Budigere,1820.0,3.0,95.0,3
1783,Budigere,1991.0,4.0,100.0,3
1784,Budigere,1820.0,3.0,95.5,3
1785,Budigere,1153.0,2.0,56.0,2
1786,Budigere,705.0,1.0,34.545,1
1787,Budigere,1153.0,2.0,56.5,2
1788,Budigere,1153.0,2.0,58.0,2
1789,Budigere,1636.0,3.0,88.0,3
1790,Budigere,1153.0,2.0,56.55,2
1791,Budigere,1153.0,2.0,56.5,2
1792,Budigere,1153.0,2.0,60.0,2
1793,CV Raman Nagar,1550.0,3.0,65.0,3
1794,CV Raman Nagar,1120.0,2.0,55.0,2
1795,CV Raman Nagar,1070.0,2.0,55.0,2
1796,CV Raman Nagar,740.0,2.0,37.0,2
1797,CV Raman Nagar,1230.0,3.0,47.0,2
1798,CV Raman Nagar,1726.0,3.0,145.0,3
1799,CV Raman Nagar,1028.0,2.0,49.0,2
1800,CV Raman Nagar,1392.0,2.0,98.0,2
1801,CV Raman Nagar,1070.0,2.0,47.5,2
1802,CV Raman Nagar,1825.0,3.0,126.0,3
1803,CV Raman Nagar,1025.0,2.0,50.0,2
1804,CV Raman Nagar,1525.0,2.0,67.0,3
1805,CV Raman Nagar,1198.0,2.0,60.0,2
1806,CV Raman Nagar,1560.0,2.0,85.0,2
1807,CV Raman Nagar,1590.0,2.0,85.0,3
1808,CV Raman Nagar,1100.0,2.0,58.0,2
1809,CV Raman Nagar,1051.0,2.0,61.0,2
1810,CV Raman Nagar,705.0,1.0,57.0,1
1811,CV Raman Nagar,1225.0,2.0,47.88,2
1812,CV Raman Nagar,1000.0,2.0,38.5,2
1813,CV Raman Nagar,1435.0,2.0,60.0,3
1814,CV Raman Nagar,1020.0,2.0,55.0,2
1815,CV Raman Nagar,1285.0,2.0,65.0,2
1816,CV Raman Nagar,1030.0,2.0,35.0,2
1817,CV Raman Nagar,1835.0,3.0,160.0,3
1818,CV Raman Nagar,1836.0,3.0,148.0,3
1819,CV Raman Nagar,1040.0,2.0,50.0,2
1820,CV Raman Nagar,1392.0,2.0,95.0,2
1821,CV Raman Nagar,705.0,2.0,50.0,1
1822,CV Raman Nagar,1125.0,2.0,46.0,2
1823,CV Raman Nagar,1400.0,2.0,78.0,3
1824,CV Raman Nagar,1980.0,4.0,180.0,3
1825,CV Raman Nagar,1980.0,4.0,166.0,3
1826,CV Raman Nagar,1400.0,2.0,78.0,3
1827,CV Raman Nagar,907.0,2.0,38.0,2
1828,CV Raman Nagar,1392.0,2.0,110.0,2
1829,CV Raman Nagar,1480.0,3.0,65.0,3
1830,CV Raman Nagar,1227.0,2.0,42.88,2
1831,CV Raman Nagar,1225.0,2.0,48.0,2
1832,CV Raman Nagar,1659.0,3.0,135.0,3
1833,CV Raman Nagar,1310.0,2.0,62.0,2
1834,Chamrajpet,1475.0,2.0,120.0,3
1835,Chamrajpet,4050.0,7.0,1200.0,9
1836,Chamrajpet,1900.0,2.0,170.0,4
1837,Chamrajpet,1350.0,2.0,180.0,2
1838,Chamrajpet,1050.0,2.0,162.0,2
1839,Chamrajpet,1660.4,4.0,211.0,4
1840,Chamrajpet,505.0,1.0,85.0,1
1841,Chamrajpet,1565.0,3.0,98.91,3
1842,Chamrajpet,730.0,1.0,52.0,2
1843,Chamrajpet,650.0,1.0,40.0,2
1844,Chamrajpet,650.0,2.0,45.0,2
1845,Chamrajpet,1650.0,3.0,115.0,3
1846,Chandapura,650.0,1.0,17.0,2
1847,Chandapura,645.0,1.0,16.45,1
1848,Chandapura,645.0,1.0,16.45,1
1849,Chandapura,800.0,1.0,20.0,2
1850,Chandapura,1015.0,2.0,25.88,2
1851,Chandapura,530.0,1.0,11.66,1
1852,Chandapura,1208.0,3.0,45.0,3
1853,Chandapura,1190.0,2.0,30.35,3
1854,Chandapura,1200.0,2.0,32.0,2
1855,Chandapura,1025.0,2.0,27.68,2
1856,Chandapura,582.5,1.0,15.135,1
1857,Chandapura,1015.0,2.0,25.88,2
1858,Chandapura,1305.0,3.0,33.28,3
1859,Chandapura,1400.0,2.0,60.0,2
1860,Chandapura,1065.0,2.0,33.0,3
1861,Chandapura,850.0,1.0,18.5,2
1862,Chandapura,1201.0,2.0,27.0,2
1863,Chandapura,1500.0,2.0,60.0,2
1864,Chandapura,850.0,2.0,25.4,2
1865,Chandapura,590.0,1.0,13.57,1
1866,Chandapura,645.0,1.0,16.45,1
1867,Chandapura,630.0,1.0,13.86,1
1868,Chandapura,1185.0,2.0,30.22,3
1869,Chandapura,630.0,1.0,27.0,2
1870,Chandapura,877.0,2.0,42.0,2
1871,Chandapura,1015.0,2.0,25.88,2
1872,Chandapura,1107.0,2.0,43.0,3
1873,Chandapura,1200.0,2.0,60.0,2
1874,Chandapura,520.0,1.0,14.04,1
1875,Chandapura,1200.0,1.0,36.0,2
1876,Chandapura,975.0,2.0,24.86,2
1877,Chandapura,620.0,1.0,27.0,1
1878,Chandapura,645.0,1.0,16.45,1
1879,Chandapura,1200.0,5.0,92.0,4
1880,Chandapura,985.0,2.0,25.12,2
1881,Chandapura,645.0,1.0,16.45,1
1882,Chandapura,975.0,2.0,24.86,2
1883,Chandapura,700.0,1.0,19.0,2
1884,Chandapura,1190.0,2.0,30.35,3
1885,Chandapura,1095.0,2.0,32.0,3
1886,Chandapura,1891.0,2.0,66.165,4
1887,Chandapura,4800.0,4.0,250.0,4
1888,Chandapura,1208.51,3.0,42.0,3
1889,Chandapura,876.0,2.0,29.5,2
1890,Chandapura,645.0,1.0,16.45,1
1891,Chandapura,1505.0,2.0,42.0,3
1892,Chandapura,1162.5,2.0,30.215,3
1893,Chandapura,645.0,1.0,16.45,1
1894,Chandapura,937.0,2.0,30.0,2
1895,Chandapura,1025.0,2.0,27.68,2
1896,Chandapura,975.0,2.0,24.86,2
1897,Chandapura,800.0,2.0,25.0,2
1898,Chandapura,1200.0,2.0,65.0,2
1899,Chandapura,645.0,1.0,16.45,1
1900,Chandapura,778.0,2.0,25.29,2
1901,Chandapura,1230.0,2.0,31.37,3
1902,Chandapura,950.0,2.0,25.65,2
1903,Chandapura,1200.0,2.0,36.0,2
1904,Chandapura,645.0,1.0,16.45,1
1905,Chandapura,922.0,2.0,36.0,2
1906,Chandapura,1110.0,2.0,29.97,3
1907,Chandapura,674.0,1.0,19.9,2
1908,Chandapura,1225.0,3.0,33.08,3
1909,Chandapura,1080.0,2.0,45.0,2
1910,Chandapura,1305.0,3.0,33.28,3
1911,Chandapura,1230.0,2.0,31.37,3
1912,Chandapura,450.0,1.0,9.0,1
1913,Chandapura,1110.0,2.0,29.97,3
1914,Chandapura,985.0,2.0,25.12,2
1915,Chandapura,750.0,1.0,18.5,2
1916,Chandapura,1025.0,2.0,27.68,2
1917,Chandapura,1190.0,2.0,30.35,3
1918,Chandapura,1015.0,2.0,25.88,2
1919,Chandapura,1345.0,2.0,39.5,3
1920,Chandapura,1033.0,2.0,30.47,3
1921,Chandapura,971.0,2.0,38.0,3
1922,Chandapura,1015.0,2.0,25.88,2
1923,Chandapura,3300.0,4.0,135.0,4
1924,Chandapura,800.0,1.0,30.0,2
1925,Chandapura,1185.0,2.0,30.22,3
1926,Chandapura,900.0,2.0,35.0,2
1927,Chandapura,975.0,2.0,24.86,2
1928,Chandapura,1200.0,2.0,52.0,3
1929,Chandapura,520.0,1.0,14.04,1
1930,Chandapura,1230.0,2.0,31.37,3
1931,Chandapura,1305.0,3.0,33.28,3
1932,Chandapura,1323.0,2.0,42.0,3
1933,Chandapura,410.0,1.0,10.0,1
1934,Chandapura,985.0,2.0,25.12,2
1935,Chandapura,645.0,1.0,16.45,1
1936,Chandapura,645.0,1.0,16.45,1
1937,Chandapura,1200.0,2.0,36.0,2
1938,Chandapura,740.0,1.0,22.0,2
1939,Chandapura,876.0,2.0,28.47,2
1940,Chandapura,1200.0,3.0,65.0,3
1941,Chandapura,1095.0,2.0,28.0,3
1942,Chandapura,520.0,1.0,14.04,1
1943,Channasandra,1340.0,2.0,48.33,3
1944,Channasandra,1009.0,2.0,38.34,2
1945,Channasandra,1065.0,2.0,35.0,2
1946,Channasandra,1470.0,2.0,90.0,3
1947,Channasandra,1115.0,2.0,33.45,2
1948,Channasandra,1030.0,2.0,34.5,2
1949,Channasandra,4200.0,6.0,180.0,6
1950,Channasandra,1115.0,2.0,40.0,2
1951,Channasandra,3040.0,2.0,48.0,2
1952,Channasandra,1200.0,3.0,67.77,3
1953,Channasandra,1104.0,2.0,35.5,2
1954,Channasandra,1160.0,2.0,55.0,2
1955,Channasandra,1050.0,2.0,41.0,2
1956,Channasandra,1065.0,2.0,40.47,2
1957,Channasandra,1310.0,2.0,45.0,3
1958,Channasandra,1070.0,2.0,38.0,2
1959,Channasandra,1800.0,4.0,300.0,4
1960,Channasandra,1050.0,2.0,35.0,2
1961,Channasandra,1093.0,2.0,34.0,2
1962,Channasandra,808.0,2.0,40.0,2
1963,Channasandra,1010.0,2.0,36.0,2
1964,Channasandra,1123.0,2.0,36.0,2
1965,Channasandra,1000.0,2.0,35.0,2
1966,Channasandra,1500.0,4.0,89.45,4
1967,Channasandra,1330.0,2.0,51.83,3
1968,Channasandra,1093.0,2.0,37.0,2
1969,Channasandra,1115.0,2.0,35.8,2
1970,Channasandra,4278.0,7.0,299.0,7
1971,Channasandra,1500.0,3.0,61.95,3
1972,Channasandra,1800.0,3.0,60.0,3
1973,Channasandra,830.0,2.0,36.28,2
1974,Channasandra,1200.0,3.0,67.77,3
1975,Channasandra,1195.0,2.0,56.0,3
1976,Channasandra,1175.0,2.0,38.0,2
1977,Channasandra,1200.0,2.0,46.13,2
1978,Channasandra,1065.0,2.0,36.0,2
1979,Channasandra,1050.0,2.0,44.41,2
1980,Channasandra,1010.0,2.0,32.0,2
1981,Chikka Tirupathi,2600.0,5.0,120.0,4
1982,Chikka Tirupathi,2325.0,4.0,120.0,4
1983,Chikka Tirupathi,3356.0,5.0,105.0,5
1984,Chikka Tirupathi,1808.0,4.0,80.27,3
1985,Chikka Tirupathi,3297.0,3.0,135.0,3
1986,Chikka Tirupathi,3500.0,5.0,150.0,4
1987,Chikka Tirupathi,1616.0,3.0,95.0,3
1988,Chikka Tirupathi,3056.0,5.0,100.0,4
1989,Chikka Tirupathi,2646.0,3.0,99.0,3
1990,Chikka Tirupathi,4500.0,5.0,150.0,4
1991,Chikka Tirupathi,2704.0,5.0,105.0,4
1992,Chikka Tirupathi,1555.0,3.0,100.0,3
1993,Chikka Tirupathi,2325.0,3.0,95.0,3
1994,Chikka Tirupathi,2325.0,4.0,120.0,4
1995,Chikka Tirupathi,3250.0,4.0,136.0,4
1996,Chikka Tirupathi,2153.0,4.0,120.0,3
1997,Chikka Tirupathi,2665.0,5.0,125.0,4
1998,Chikkabanavar,950.0,2.0,40.0,2
1999,Chikkabanavar,1200.0,1.0,20.0,1
2000,Chikkabanavar,1600.0,2.0,80.0,3
2001,Chikkabanavar,600.0,1.0,25.0,2
2002,Chikkabanavar,2460.0,7.0,80.0,4
2003,Chikkabanavar,1500.0,4.0,105.0,4
2004,Chikkabanavar,1200.0,4.0,130.0,4
2005,Chikkabanavar,2400.0,4.0,97.0,5
2006,Chikkabanavar,2000.0,4.0,65.0,5
2007,Chikkabanavar,1067.0,2.0,38.0,2
2008,Chikkabanavar,1320.0,2.0,46.0,3
2009,Chikkabanavar,4000.0,7.0,110.0,8
2010,Chikkalasandra,1290.0,2.0,56.12,3
2011,Chikkalasandra,1100.0,2.0,50.0,2
2012,Chikkalasandra,1208.0,2.0,49.0,2
2013,Chikkalasandra,875.0,2.0,52.8,2
2014,Chikkalasandra,1375.0,2.0,50.0,3
2015,Chikkalasandra,1800.0,1.0,128.0,2
2016,Chikkalasandra,1070.0,2.0,50.0,2
2017,Chikkalasandra,1230.0,2.0,48.0,2
2018,Chikkalasandra,1428.0,2.0,80.0,3
2019,Chikkalasandra,1070.0,2.0,42.8,2
2020,Chikkalasandra,1310.0,2.0,52.4,3
2021,Chikkalasandra,1270.0,2.0,55.25,3
2022,Chikkalasandra,1365.0,2.0,49.0,3
2023,Chikkalasandra,1075.0,2.0,46.76,2
2024,Chikkalasandra,1230.0,2.0,53.51,3
2025,Chikkalasandra,1290.0,2.0,56.12,3
2026,Chikkalasandra,1070.0,2.0,45.48,2
2027,Chikkalasandra,1100.0,2.0,50.0,2
2028,Chikkalasandra,1390.0,2.0,60.47,3
2029,Chikkalasandra,1265.0,2.0,53.12,3
2030,Chikkalasandra,1224.0,2.0,45.0,2
2031,Chikkalasandra,1500.0,5.0,265.0,5
2032,Chikkalasandra,1090.0,2.0,47.42,2
2033,Chikkalasandra,1355.0,3.0,54.2,3
2034,Chikkalasandra,1350.0,2.0,54.2,3
2035,Chikkalasandra,1325.0,2.0,59.0,2
2036,Chikkalasandra,1290.0,2.0,72.0,2
2037,Chikkalasandra,1275.0,2.0,55.46,3
2038,Chikkalasandra,1425.0,1.0,54.0,3
2039,Choodasandra,1115.0,2.0,50.0,2
2040,Choodasandra,1300.0,2.0,57.0,2
2041,Choodasandra,1530.0,3.0,77.0,3
2042,Choodasandra,1220.0,3.0,56.0,3
2043,Choodasandra,1220.0,3.0,56.0,3
2044,Choodasandra,1197.0,2.0,63.0,2
2045,Choodasandra,900.0,4.0,155.0,3
2046,Choodasandra,1465.0,3.0,75.0,3
2047,Choodasandra,1115.0,2.0,50.0,2
2048,Choodasandra,1215.0,2.0,59.0,2
2049,Choodasandra,1254.0,2.0,65.0,3
2050,Choodasandra,1580.0,3.0,105.0,3
2051,Choodasandra,3204.0,4.0,395.0,3
2052,Choodasandra,3200.0,4.0,375.0,4
2053,Choodasandra,725.0,2.0,36.0,2
2054,Choodasandra,2429.0,3.0,210.0,4
2055,Choodasandra,1220.0,3.0,56.0,3
2056,Choodasandra,1075.0,2.0,45.0,2
2057,Choodasandra,1180.0,2.0,71.22,2
2058,Choodasandra,1140.0,2.0,62.0,2
2059,Choodasandra,1220.0,3.0,56.0,3
2060,Choodasandra,1560.0,3.0,78.0,3
2061,Choodasandra,1065.0,2.0,46.0,2
2062,Choodasandra,1115.0,2.0,50.0,2
2063,Choodasandra,1220.0,3.0,56.0,3
2064,Choodasandra,1115.0,2.0,50.0,2
2065,Cooke Town,565.0,1.0,35.0,1
2066,Cooke Town,2572.0,3.0,390.0,3
2067,Cooke Town,2043.0,6.0,375.0,5
2068,Cooke Town,3950.0,4.0,450.0,4
2069,Cooke Town,2388.0,4.0,239.0,3
2070,Cooke Town,1500.0,3.0,95.0,3
2071,Cooke Town,1710.0,2.0,200.0,2
2072,Cooke Town,1310.0,2.0,111.0,2
2073,Cooke Town,3900.0,5.0,415.0,4
2074,Cooke Town,2560.0,4.0,310.0,3
2075,Cooke Town,2600.0,3.0,375.0,3
2076,Cooke Town,1700.0,3.0,120.0,3
2077,Cooke Town,1100.0,2.0,90.0,2
2078,Cooke Town,2300.0,3.0,250.0,3
2079,Cooke Town,1850.0,3.0,110.0,3
2080,Cooke Town,1600.0,3.0,260.0,3
2081,Cox Town,1975.0,3.0,150.0,3
2082,Cox Town,605.0,1.0,29.0,1
2083,Cox Town,1650.0,3.0,100.0,3
2084,Cox Town,1730.0,3.0,140.0,3
2085,Cox Town,1600.0,3.0,150.0,3
2086,Cox Town,1250.0,2.0,95.0,2
2087,Cox Town,1100.0,2.0,166.0,2
2088,Cox Town,1495.0,2.0,300.0,4
2089,Cox Town,1280.0,2.0,120.0,2
2090,Cox Town,1073.0,2.0,72.0,2
2091,Cox Town,1000.0,2.0,58.0,2
2092,Cox Town,1200.0,2.0,140.0,2
2093,Cunningham Road,5270.0,4.0,1250.0,4
2094,Cunningham Road,3875.0,3.0,864.0,3
2095,Cunningham Road,3875.0,3.0,800.0,3
2096,Cunningham Road,3815.0,3.0,763.0,3
2097,Cunningham Road,2880.0,3.0,501.0,3
2098,Cunningham Road,2275.0,3.0,285.0,3
2099,Cunningham Road,3489.0,3.0,662.0,3
2100,Cunningham Road,4170.0,3.0,800.0,3
2101,Cunningham Road,5108.0,5.0,995.0,4
2102,Cunningham Road,2925.0,5.0,936.0,5
2103,Cunningham Road,2700.0,3.0,501.0,3
2104,Cunningham Road,7500.0,6.0,1800.0,4
2105,Cunningham Road,2880.0,3.0,560.0,3
2106,Dasanapura,708.0,2.0,37.0,2
2107,Dasanapura,708.0,1.0,40.0,2
2108,Dasanapura,965.0,2.0,42.5,2
2109,Dasanapura,1286.0,3.0,61.44,3
2110,Dasanapura,1500.0,3.0,65.0,2
2111,Dasanapura,708.0,1.0,28.32,1
2112,Dasanapura,814.0,2.0,42.0,2
2113,Dasanapura,1163.0,2.0,65.0,2
2114,Dasanapura,2400.0,5.0,100.0,4
2115,Dasanapura,1286.0,2.0,68.0,3
2116,Dasanapura,708.0,2.0,31.15,2
2117,Dasanapura,814.0,2.0,53.0,2
